! time                    mass_defect             defect_inventory        sink_inventory          leak_inventory          edge_inventory          
  3.800000000000000E+001 -1.376676550535194E-014 -8.919538851896012E-001  1.271763358222785E-001  0.000000000000000E+000  7.647775493673089E-001
  4.000000000000000E+001 -1.365574320288943E-014 -8.870076438859349E-001  1.277785227157686E-001  0.000000000000000E+000  7.592291211701526E-001
  4.500000000000000E+001 -1.487698852997710E-014 -8.703835721400476E-001  1.287718853225736E-001  0.000000000000000E+000  7.416116868174591E-001
  5.000000000000000E+001 -1.443289932012704E-014 -8.508492826771211E-001  1.294132653180670E-001  0.000000000000000E+000  7.214360173590397E-001
  5.500000000000000E+001 -1.421085471520200E-014 -8.293072971610609E-001  1.298096775479657E-001  0.000000000000000E+000  6.994976196130810E-001
  6.000000000000000E+001 -1.509903313490213E-014 -8.063634059391853E-001  1.300328265547261E-001  0.000000000000000E+000  6.763305793844442E-001
  6.500000000000000E+001 -1.476596622751458E-014 -7.824258259875433E-001  1.301309403289916E-001  0.000000000000000E+000  6.522948856585370E-001
  7.000000000000000E+001 -1.609823385706477E-014 -7.577711744902095E-001  1.301366361455393E-001  0.000000000000000E+000  6.276345383446541E-001
  7.500000000000000E+001 -1.620925615952729E-014 -7.325883359092827E-001  1.300721447267408E-001  0.000000000000000E+000  6.025161911825258E-001
  8.000000000000000E+001 -1.565414464721471E-014 -7.070076062550891E-001  1.299527764335023E-001  0.000000000000000E+000  5.770548298215711E-001
  8.500000000000000E+001 -1.609823385706477E-014 -6.811200425598097E-001  1.297892190143107E-001  0.000000000000000E+000  5.513308235454829E-001
  9.000000000000000E+001 -1.676436767183986E-014 -6.549903056565105E-001  1.295890600068680E-001  0.000000000000000E+000  5.254012456496258E-001
  9.500000000000000E+001 -1.582067810090848E-014 -6.286651873236210E-001  1.293577955178187E-001  0.000000000000000E+000  4.993073918057864E-001
  1.000000000000000E+002 -1.620925615952729E-014 -6.021792791020982E-001  1.290994992903874E-001  0.000000000000000E+000  4.730797798116946E-001
  1.100000000000000E+002 -1.731947918415244E-014 -5.487250091721436E-001  1.284936784664620E-001  0.000000000000000E+000  4.202313307056643E-001
  1.200000000000000E+002 -1.770805724277125E-014 -4.949112171964306E-001  1.278135158002805E-001  0.000000000000000E+000  3.670977013961323E-001
  1.300000000000000E+002 -1.637578961322106E-014 -4.408220108017994E-001  1.270694421122628E-001  0.000000000000000E+000  3.137525686895203E-001
  1.400000000000000E+002 -1.676436767183986E-014 -3.865182837910959E-001  1.262692286879038E-001  0.000000000000000E+000  2.602490551031753E-001
  1.500000000000000E+002 -1.593170040337100E-014 -3.320461544285284E-001  1.254189548138600E-001  0.000000000000000E+000  2.066271996146524E-001
  1.600000000000000E+002 -1.601496713021788E-014 -2.774417618200067E-001  1.245235528158320E-001  0.000000000000000E+000  1.529182090041587E-001
  1.700000000000000E+002 -1.630640067418199E-014 -2.227341491259938E-001  1.235871325726542E-001  0.000000000000000E+000  9.914701655332331E-002
  1.800000000000000E+002 -1.628558399247027E-014 -1.679471002474565E-001  1.226131866424644E-001  0.000000000000000E+000  4.533391360497584E-002
  1.900000000000000E+002 -1.594731291465479E-014 -1.131003754257043E-001  1.216047276383374E-001  0.000000000000000E+000 -8.504352212648962E-003
  2.000000000000000E+002 -1.649375080958748E-014 -5.821058221886124E-002  1.205643850011436E-001  0.000000000000000E+000 -6.235380278229881E-002
  2.100000000000000E+002 -1.737499033538370E-014 -3.291812752125933E-003  1.194944760214069E-001  0.000000000000000E+000 -1.162026632692983E-001
  2.200000000000000E+002 -1.715294573045867E-014  5.164387658423838E-002  1.183970596414688E-001  0.000000000000000E+000 -1.700409362257243E-001
